"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SAN BENITO","Total","     390.671108","     382.398183","     384.124516","     378.242096","     381.199857","     367.306448","     356.003201","     357.595168","     332.857049","     315.355517","     308.625894","     316.010235","     315.851064","     322.762829","     317.538226","     305.032022","     311.890894","     298.441135","     315.850124","     316.876335","     291.073185","     276.914782","     246.569722","     236.317328","     214.125736","     201.506763","     195.489127","     185.573936","     187.464310","     188.901368","     187.822386","    9186.390544"
"SAN BERNARDINO","Total","   15968.515536","   15316.265133","   15375.855261","   15282.202196","   14946.027507","   14730.577628","   14731.284782","   14373.948031","   14348.472702","   13729.587675","   13481.362766","   13782.267894","   14814.686799","   14811.095097","   14638.916242","   14723.613832","   14346.151105","   13160.100584","   12643.578126","   11164.103898","   12851.856519","   12148.754285","   11618.048237","   11573.632418","   11355.430185","   10825.009253","   10730.913347","   11811.516626","   11840.208061","   11577.463836","   11448.538544","  414149.984105"
"SAN DIEGO","Total","   19044.725718","   18988.950702","   19479.761203","   19361.859415","   19641.732479","   19872.581841","   19899.799526","   19594.668862","   19548.132703","   19121.353296","   19115.153960","   19561.368150","   19988.203241","   19646.173456","   19421.128986","   18467.522298","   18443.660751","   17541.546837","   16790.245057","   16349.312946","   17969.073300","   17433.727512","   16395.332414","   15979.618067","   15359.784906","   14898.338441","   14734.083640","   14421.606029","   14501.711432","   13769.286211","   14395.975483","  549736.418862"
"SAN FRANCISCO","Total","    5025.699142","    5631.861500","    5627.539270","    5721.234352","    5748.617626","    5799.282049","    5843.623613","    5887.795626","    5878.268424","    5905.845873","    5759.195378","    5663.053489","    5730.535012","    5626.792109","    5334.197446","    5371.405525","    5081.812874","    4985.116126","    5054.566394","    5006.470327","    5282.296314","    5192.445156","    4819.118716","    5128.707901","    4999.840708","    4971.438397","    4860.186411","    4972.735135","    4912.237099","    4967.867806","    4984.472429","  165774.258227"
"SAN JOAQUIN","Total","    5736.910204","    5614.002232","    5673.572047","    5643.124600","    5466.798262","    5175.219057","    5244.708548","    5557.110821","    5363.213295","    5279.739856","    5199.501189","    5319.866941","    5317.429079","    5446.646795","    5781.685985","    5732.720487","    5402.809730","    4911.483005","    5204.583073","    5101.658118","    5166.866225","    5361.360192","    4516.106970","    4741.837626","    4539.376481","    4389.994962","    3999.000190","    4257.827359","    3817.854385","    3670.416980","    3868.310187","  156501.734881"
"SAN LUIS OBISPO","Total","    1688.622040","    1715.368656","    1770.897198","    1768.557571","    1734.993177","    1710.301329","    1725.454910","    1760.844311","    1724.559400","    1682.920087","    1665.957475","    1701.616164","    1736.181310","    1762.846317","    1600.420582","    1580.675818","    1595.488356","    1561.291925","    1463.384025","    1484.429624","    1424.807140","    1377.022319","    1279.453501","    1278.769631","    1227.735962","    1183.203853","    1164.075808","    1155.401121","    1119.039951","    1123.031746","    1146.272359","   46913.623666"
"SAN MATEO","Total","    4167.506557","    4342.083791","    4257.954455","    4360.779612","    4345.145435","    4438.026196","    4459.173005","    4533.620010","    4515.352793","    4573.067338","    4767.735036","    4971.888183","    5076.987175","    5000.944963","    4671.754112","    4544.586248","    4763.019737","    4612.741819","    4214.933433","    4229.905678","    4808.803193","    4582.759750","    4433.761840","    4356.380630","    4119.976922","    4021.696721","    3942.191103","    3955.564639","    3907.967735","    3890.128738","    3967.579009","  136834.015856"
"SANTA BARBARA","Total","    2763.409889","    2794.510651","    2831.451237","    2806.351129","    2855.913573","    3111.309259","    3411.877411","    3376.261562","    3264.373930","    3241.289313","    3232.910091","    3239.135285","    3266.279359","    3180.346685","    3188.528611","    3243.321099","    3165.612882","    2994.837101","    3021.728819","    2743.704130","    2865.719587","    2730.428474","    2735.337278","    2783.834708","    2668.441282","    2589.883229","    2565.208314","    2601.268984","    2567.872808","    2520.875703","    2484.634486","   90846.656869"
"SANTA CLARA","Total","   16435.721919","   16686.823165","   16713.254911","   17031.176391","   16832.475283","   16814.318466","   16679.607547","   16584.719545","   16510.406266","   16550.923705","   16266.421345","   16560.184280","   16731.829730","   16458.084262","   16056.584989","   15564.714122","   15358.604921","   15182.045927","   14521.146184","   15396.907358","   16613.255307","   16416.668600","   15733.686308","   15333.587973","   14505.474483","   14088.277854","   13936.103081","   14093.051826","   14078.544905","   13960.470483","   14050.090718","  487745.161854"
"SANTA CRUZ","Total","    1179.969436","    1201.103955","    1214.200813","    1224.693410","    1227.423087","    1236.332890","    1239.700356","    1277.496745","    1267.176568","    1261.160125","    1268.773696","    1279.404696","    1360.023732","    1410.352387","    1435.920714","    1400.559604","    1468.855849","    1364.034017","    1413.219472","    1467.998724","    1538.628939","    1486.135388","    1397.965954","    1432.349802","    1359.100696","    1368.596532","    1305.161159","    1312.201511","    1293.460713","    1272.012610","    1287.543982","   41251.557562"
